committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2020,Q1,202004029216580385,21B,SB21B.5018,1392891,ORG,ORGANIZATION,C00639146,C00639146,NATIONAL CANNABIS INDUSTRY ASSOCIATION,DC,JOSH HARDER FOR CONGRESS,,,,USE OF MEETING ROOM (IN-KIND),X,,2020-02-28 00:00:00,-200.00,H,HOUSE,10,,,,,,,,CA,CALIFORNIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-04-04 01:20:21.637,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4040320201734647150,WASHINGTON,20001,OTHER,,2020,SB,4040320201734768763,http://docquery.fec.gov/cgi-bin/fecimg/?202004029216580385,Other Federal Operating Expenditures,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2020,Q1,202004029216580385,21B,SB21B.5017,1392891,ORG,ORGANIZATION,C00639146,C00639146,NATIONAL CANNABIS INDUSTRY ASSOCIATION,DC,JOSH HARDER FOR CONGRESS,,,,USE OF MEETING ROOM (IN-KIND),X,,2020-02-03 00:00:00,200.00,H,HOUSE,10,,,,,,,,CA,CALIFORNIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-04-04 01:20:21.637,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4040320201734647150,WASHINGTON,20001,OTHER,,2020,SB,4040320201734768762,http://docquery.fec.gov/cgi-bin/fecimg/?202004029216580385,Other Federal Operating Expenditures,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2020,Q1,202004029216580387,23,SB23.5019,1392891,ORG,ORGANIZATION,C00639146,C00639146,NATIONAL CANNABIS INDUSTRY ASSOCIATION,DC,JOSH HARDER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,USE OF MEETING ROOM (IN-KIND),X,,2020-02-28 00:00:00,200.00,H,HOUSE,10,H8CA10126,,,,,,,CA,CALIFORNIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-05-20 01:32:04.65,,,,0.00,,,,,,,,,,,,Q,L,U,F3X,4040320201734647150,WASHINGTON,20001,CONTRIBUTIONS,,2020,SB,4040320201734768765,http://docquery.fec.gov/cgi-bin/fecimg/?202004029216580387,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,MY,201907309161234528,23,SB23.4874,1344970,PAC,POLITICAL ACTION COMMITTEE,C00567693,C00567693,HAWAII PAC,DC,HAWAII PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION,,,2019-03-05 00:00:00,500.00,,,,,,,,,,,,,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2019-08-01 02:37:52.333,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4073020191661587888,WASHINGTON,20003,CONTRIBUTIONS,,2020,SB,4073120191661913618,http://docquery.fec.gov/cgi-bin/fecimg/?201907309161234528,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,MY,201907309161234531,23,SB23.4876,1344970,CCM,CAMPAIGN COMMITTEE,C00540732,C00540732,SCHATZ FOR SENATE,HI,SCHATZ FOR SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION,,,2019-03-05 00:00:00,500.00,S,SENATE,00,S4HI00136,"SCHATZ, BRIAN",BRIAN,SCHATZ,,,,HI,HAWAII,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2019-08-01 02:37:52.335,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4073020191661587888,HONOLULU,96812,CONTRIBUTIONS,,2020,SB,4073120191661913636,http://docquery.fec.gov/cgi-bin/fecimg/?201907309161234531,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,YE,202002209187026724,23,SB23.4931,1385119,CCM,CAMPAIGN COMMITTEE,C00460261,C00460261,AL LAWSON FOR CONGRESS,FL,AL LAWSON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION,,,2019-07-16 00:00:00,1000.00,H,HOUSE,05,H0FL02086,"LAWSON, ALFRED JR",ALFRED JR,LAWSON,,,,FL,FLORIDA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-02-29 01:36:43.407,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4022120201693444189,TALLAHASSEE,32301,CONTRIBUTIONS,,2020,SB,4022820201699987457,http://docquery.fec.gov/cgi-bin/fecimg/?202002209187026724,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,YE,202002209187026725,23,SB23.4902,1385119,CCM,CAMPAIGN COMMITTEE,C00639146,C00639146,JOSH HARDER FOR CONGRESS,CA,JOSH HARDER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION-CAMPAIGN DEBT DESIGNATION,,,2019-09-19 00:00:00,1000.00,H,HOUSE,10,H8CA10126,"HARDER, JOSH",JOSH,HARDER,,,,CA,CALIFORNIA,P2018,OTHER-DEBT RETIREMT,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,2020-02-29 01:36:43.407,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4022120201693444189,MODESTO,95352,CONTRIBUTIONS,,2020,SB,4022820201699987460,http://docquery.fec.gov/cgi-bin/fecimg/?202002209187026725,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,YE,202002209187026725,23,SB23.4916,1385119,CCM,CAMPAIGN COMMITTEE,C00639146,C00639146,JOSH HARDER FOR CONGRESS,CA,JOSH HARDER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION,,,2019-12-12 00:00:00,1000.00,H,HOUSE,10,H8CA10126,"HARDER, JOSH",JOSH,HARDER,,,,CA,CALIFORNIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-02-29 01:36:43.407,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4022120201693444189,MODESTO,95352,CONTRIBUTIONS,,2020,SB,4022820201699987461,http://docquery.fec.gov/cgi-bin/fecimg/?202002209187026725,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,YE,202002209187026725,23,SB23.4901,1385119,CCM,CAMPAIGN COMMITTEE,C00636571,C00636571,KATIE PORTER FOR CONGRESS,CA,KATIE PORTER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION,,,2019-09-17 00:00:00,1000.00,H,HOUSE,45,H8CA45130,"PORTER, KATHERINE",KATHERINE,PORTER,,,,CA,CALIFORNIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-02-29 01:36:43.408,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4022120201693444189,LOS ANGELES,90017,CONTRIBUTIONS,,2020,SB,4022820201699987462,http://docquery.fec.gov/cgi-bin/fecimg/?202002209187026725,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00528026,NATIONAL CANNABIS INDUSTRY ASSOCIATION PAC,2019,YE,202002209187026726,23,SB23.4935,1385119,CCM,CAMPAIGN COMMITTEE,C00398644,C00398644,MCNERNEY FOR CONGRESS,CA,MCNERNEY FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,POLITICAL CONTRIBUTION,,,2019-12-11 00:00:00,1000.00,H,HOUSE,09,H4CA11081,"MCNERNEY, GERALD MARK",GERALD MARK,MCNERNEY,,,,CA,CALIFORNIA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2020-02-29 01:36:43.408,,,,0.00,,,,,,,,,,,,Q,T,U,F3X,4022120201693444189,STOCKTON,95269,CONTRIBUTIONS,,2020,SB,4022820201699987464,http://docquery.fec.gov/cgi-bin/fecimg/?202002209187026726,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
